city,lat,lng,iso2,admin_name
Rokiskis,55.9587,25.5947,LT,Rokiškis
Moletai,55.2247,25.4169,LT,Molėtai
Salcininkai,54.3086,25.3868,LT,Šalčininkai
Vilnius,54.6834,25.3166,LT,Vilniaus Miestas
Kupiskis,55.8401,24.9803,LT,Kupiškis
Trakai,54.6399,24.936,LT,Trakai
Birzai,56.1986,24.7521,LT,Biržai
Anyksciai,55.5246,25.1066,LT,Anykščiai
Telsiai,55.9831,22.2343,LT,Telšiai
Kelme,55.6301,22.9349,LT,Kelmė
Marijampole,54.5599,23.3541,LT,Marijampolė
Lazdijai,54.2333,23.5147,LT,Lazdijai
Sakiai,54.9534,23.0478,LT,Šakiai
Radviliskis,55.8111,23.5411,LT,Radviliškis
Siauliai,55.9386,23.325,LT,Šiaulių Miestas
Birstonas,54.6048,24.0311,LT,Birštono
Druskininkai,54.0157,23.987,LT,Druskininkai
Kedainiai,55.2878,23.9727,LT,Kėdainiai
Alytus,54.3964,24.0414,LT,Alytaus Miestas
Prienai,54.636,23.9458,LT,Prienai
Elektrenai,54.7863,24.6626,LT,Elektrénai
Kaunas,54.9504,23.88,LT,Kauno Miestas
Jonava,55.0801,24.2754,LT,Jonava
Kaisiadorys,54.8653,24.4682,LT,Kaišiadorys
Panevezys,55.74,24.37,LT,Panevėžio Miestas
Joniskis,56.2394,23.6154,LT,Joniškis
Kazlu Ruda,54.7497,23.495,LT,Kazlų Rūdos
Vilkaviskis,54.648,23.0305,LT,Vilkaviškis
Pasvalys,56.0625,24.3997,LT,Pasvalys
Pakruojis,55.9789,23.8551,LT,Pakruojis
Raseiniai,55.3797,23.1239,LT,Raseiniai
Pagegiai,55.1379,21.9138,LT,Pagégiai
Jurbarkas,55.0756,22.7642,LT,Jurbarkas
Kalvarija,54.4172,23.2283,LT,Kalvarijos
Sirvintos,55.044,24.9545,LT,Širvintos
Skuodas,56.2706,21.5321,LT,Skuodas
Mazeikiai,56.3122,22.3265,LT,Mažeikiai
Akmene,56.25,22.75,LT,Akmenė
Ukmerge,55.2494,24.7636,LT,Ukmergė
Varena,54.2155,24.5754,LT,Varėna
Capellen,49.645,5.9908,LU,Capellen
Esch-sur-Alzette,49.4958,5.9806,LU,Esch-sur-Alzette
Remich,49.545,6.3669,LU,Remich
Echternach,49.8056,6.4222,LU,Echternach
Mersch,49.7489,6.1061,LU,Mersch
Redange-sur-Attert,49.7656,5.8908,LU,Redange
Vianden,49.935,6.2089,LU,Vianden
Wiltz,49.9689,5.9319,LU,Wiltz
Clervaux,50.0547,6.0314,LU,Clervaux
Diekirch,49.8833,6.1667,LU,Diekirch
Grevenmacher,49.7,6.3333,LU,Grevenmacher
Luxembourg,49.6117,6.13,LU,Luxembourg
Skrunda,56.6833,22.0167,LV,Skrundas Novads
Daugavpils,55.88,26.51,LV,Daugavpils Novads
Jekabpils,56.4833,25.85,LV,Jēkabpils Novads
Aglona,56.1333,27.0167,LV,Aglonas Novads
Lielvarde,56.7225,24.805,LV,Lielvārdes Novads
Saldus,56.6667,22.5,LV,Saldus Novads
Ozolnieki,56.6864,23.7878,LV,Ozolnieku Novads
Broceni,56.7,22.5333,LV,Brocēnu Novads
Jelgava,56.6527,23.7128,LV,Jelgavas Novads
Pilsrundale,56.4167,24,LV,Rundāles Novads
Dobele,56.625,23.2786,LV,Dobeles Novads
Iecava,56.5986,24.2022,LV,Iecavas Novads
Jaunpils,56.7325,23.0136,LV,Jaunpils Novads
Auce,56.4667,22.8833,LV,Auces Novads
Tukums,56.9669,23.1553,LV,Tukuma Novads
Tervete,56.4781,23.3867,LV,Tērvetes Novads
Salacgriva,57.7531,24.359,LV,Salacgrīvas Novads
Ventspils,57.3899,21.5606,LV,Ventspils
Dundaga,57.505,22.3504,LV,Dundagas Novads
Jaunjelgava,56.6132,25.0832,LV,Jaunjelgavas Novads
Nereta,56.2044,25.3077,LV,Neretas Novads
Alsunga,56.9801,21.564,LV,Alsungas Novads
Kuldiga,56.969,21.968,LV,Kuldīgas Novads
Pavilosta,56.8898,21.1817,LV,Pāvilostas Novads
Pinki,56.9419,23.9137,LV,Babītes Novads
Adazi,57.0705,24.3371,LV,Ādažu Novads
Kandava,57.0389,22.7724,LV,Kandavas Novads
Roja,57.5015,22.8088,LV,Rojas Novads
Carnikava,57.1293,24.2842,LV,Carnikavas Novads
Garkalne,57.0449,24.4195,LV,Garkalnes Novads
Saulkrasti,57.2599,24.4189,LV,Saulkrastu Novads
Smarde,56.9533,23.3387,LV,Engures Novads
Mersrags,57.3364,23.1235,LV,Mērsraga Novads
Talsi,57.2465,22.5876,LV,Talsu Novads
Jurmala,56.9567,23.7233,LV,Jūrmala
Marupe,56.9032,24.0467,LV,Mārupes Novads
Ulbroka,56.9363,24.3039,LV,Stopiņu Novads
Zilupe,56.386,28.1218,LV,Zilupes Novads
Ludza,56.5396,27.7189,LV,Ludzas Novads
Dagda,56.0961,27.5328,LV,Dagdas Novads
Baltinava,56.9439,27.644,LV,Baltinavas Novads
Cibla,56.5498,27.8837,LV,Ciblas Novads
Karsava,56.7874,27.6732,LV,Kārsavas Novads
Riga,56.95,24.1,LV,Rīga
Kraslava,55.8969,27.172,LV,Krāslavas Novads
Limbazi,57.513,24.724,LV,Limbažu Novads
Preili,56.294,26.7248,LV,Preiļu Novads
Vecvarkava,56.1984,26.5081,LV,Vārkavas Novads
Ilukste,55.9779,26.2978,LV,Ilūkstes Novads
Nica,56.3456,21.0646,LV,Nīcas Novads
Bauska,56.4079,24.1944,LV,Bauskas Novads
Vilaka,57.1843,27.6719,LV,Viļakas Novads
Livani,56.3567,26.1761,LV,Līvānu Novads
Aluksne,57.4216,27.0466,LV,Alūksnes Novads
Rezekne,56.5,27.3166,LV,Rēzekne
Rugaji,57.0033,27.1337,LV,Rugāju Novads
Riebini,56.3403,26.7999,LV,Riebiņu Novads
Vilani,56.5505,26.9298,LV,Viļānu Novads
Varaklani,56.6091,26.7547,LV,Varakļānu Novads
Ape,57.5394,26.694,LV,Apes Novads
Madona,56.851,26.2184,LV,Madonas Novads
Jaunpiebalga,57.1775,26.0284,LV,Jaunpiebalgas Novads
Lubana,56.9043,26.7161,LV,Lubānas Novads
Gulbene,57.1734,26.7527,LV,Gulbenes Novads
Balvi,57.1287,27.27,LV,Balvu Novads
Akniste,56.1615,25.7482,LV,Aknīstes Novads
Viesite,56.3465,25.5581,LV,Viesītes Novads
Cesvaine,56.9675,26.3076,LV,Cesvaines Novads
Kegums,56.7455,24.725,LV,Ķeguma Novads
Vecpiebalga,57.0618,25.8179,LV,Vecpiebalgas Novads
Smiltene,57.4242,25.9017,LV,Smiltenes Novads
Drabesi,57.2433,25.2803,LV,Amatas Novads
Cesis,57.3091,25.2761,LV,Cēsu Novads
Ergli,56.8988,25.6429,LV,Ērgļu Novads
Valka,57.7767,26.0118,LV,Valkas Novads
Grobina,56.5358,21.1747,LV,Grobiņas Novads
Strenci,57.6269,25.6919,LV,Strenču Novads
Murmuiza,57.4731,25.4917,LV,Beverīnas Novads
Mazsalaca,57.8619,25.0547,LV,Mazsalacas Novads
Aloja,57.7672,24.8774,LV,Alojas Novads
Burtnieki,57.6949,25.275,LV,Burtnieku Novads
Koknese,56.6516,25.4364,LV,Kokneses Novads
Aizkraukle,56.6029,25.2636,LV,Aizkraukles Novads
Skriveri,56.6485,25.1195,LV,Skrīveru Novads
Baldone,56.7445,24.4008,LV,Baldones Novads
Vecumnieki,56.6061,24.5223,LV,Vecumnieku Novads
Sala,56.5047,25.7618,LV,Salas Novads
Plavinas,56.6177,25.7194,LV,Pļaviņu Novads
Liepaga,56.51,21.01,LV,Liepāja
Rujiena,57.8961,25.3342,LV,Rūjienas Novads
Naukseni,57.8842,25.458,LV,Naukšēnu Novads
Liegi,56.5797,21.3338,LV,Durbes Novads
Rauna,57.3337,25.6085,LV,Raunas Novads
